applicant_id,business_name,sector,region,tier,years_in_business,employee_count,gstin,entity_type
1,National Garments Pvt Ltd,textiles,Hyderabad,Tier1,1.9,224,062CXUG2M8XFZ1,NTB
2,Bharat Naturals Bros,food_processing,Hyderabad,Tier1,13.8,21,09Z5X9L9LQRXZ7,NTC
3,Sri Forge LLP,manufacturing,Hyderabad,Tier1,8.6,11,07X9DWPV81B6Z5,NTC
4,Shree Stores,retail,Chennai,Tier1,17.3,117,07TFJQQTFNKPZ3,existing_customer
5,Pioneer Forge LLP,manufacturing,Bengaluru,Tier1,2.2,175,29MVEM8ZPW7LZ3,NTC
6,Modern Foods LLP,food_processing,Rajkot,Tier3,12.2,132,36GH8SHEC4D2Z8,NTC
7,Pioneer Works Pvt Ltd,manufacturing,Bengaluru,Tier1,11.3,154,29423FQPYJRKZ7,existing_customer
8,Heritage Tech LLP,services,Delhi,Tier1,14.7,122,09RKNT833EJXZ8,NTB
9,Bharat Forge Bros,manufacturing,Rajkot,Tier3,5.5,197,294D6367QPNPZ0,existing_customer
10,Bharat Mart & Co.,retail,Mumbai,Tier1,11.9,204,367S41RW6AHFZ9,existing_customer
11,Sri Works Bros,manufacturing,Pune,Tier2,4.7,33,09C4SUXV0KAMZ5,existing_customer
12,Star Retail Group,retail,Pune,Tier2,6.8,246,27PRX9JA2M0XZ7,existing_customer
13,Sunrise Naturals,food_processing,Bengaluru,Tier1,14.7,46,09X3C2RKBGB7Z5,existing_customer
14,Sunrise Industries,manufacturing,Pune,Tier2,3.8,93,06K3QPQ8MGZNZ7,existing_customer
15,Bharat Exports LLP,food_processing,Varanasi,Tier3,11.0,212,06DMLR0FRR06Z6,NTC
16,Star Tech & Co.,services,Mumbai,Tier1,11.7,95,294ZQEJXN8BFZ4,NTC
17,Modern Processors Pvt Ltd,food_processing,Pune,Tier2,9.8,103,07AGT7E2ZHWZZ9,existing_customer
18,Shree Stores,retail,Mumbai,Tier1,16.2,115,060UKLF0ZFNHZ9,existing_customer
19,Galaxy Retail Pvt Ltd,retail,Chennai,Tier1,10.2,96,07CP0SPPVELCZ4,NTC
20,Bharat Components Group,manufacturing,Hyderabad,Tier1,3.7,249,274TLF7H8TKCZ1,existing_customer
21,Bharat Mfg Group,manufacturing,Bengaluru,Tier1,2.1,166,29FX6M7B5C82Z2,existing_customer
22,Royal Retail LLP,retail,Varanasi,Tier3,1.0,229,36S3ZLCCQSGWZ3,existing_customer
23,Star Exports & Co.,food_processing,Jaipur,Tier2,2.8,96,06JEREB85Q86Z8,existing_customer
24,Galaxy Components LLP,manufacturing,Ahmedabad,Tier2,9.2,133,09A8T8HMBS5YZ4,existing_customer
25,Modern Components LLP,manufacturing,Mumbai,Tier1,15.9,188,27PVGUCT1K9ZZ1,NTB
26,Swadeshi Mills Group,textiles,Jaipur,Tier2,6.9,38,08TBEMSRWTMWZ1,existing_customer
27,Star Components,manufacturing,Jaipur,Tier2,9.4,132,36SAMDQL65XWZ2,existing_customer
